Date,Open,High,Low,Close,Adj Close,Volume,EMA_12,EMA_26,MACD,Signal_Line,20_MA,20_STD,Upper_Band,Lower_Band,RSI,Price,Signal,Entry_Price,Exit_Price,%Profit_Loss
02-01-13,5982.600098,6006.049805,5982,5993.25,5993.25,0,5993.25,5993.25,0,0,,,,,,,No Trade,,,
03-01-13,6015.799805,6017,5986.549805,6009.5,6009.5,0,5995.75,5994.453704,1.296296296,0.259259259,,,,,,,No Trade,,,
04-01-13,6011.950195,6020.75,5981.549805,6016.149902,6016.149902,0,5998.888447,5996.06083,2.827616986,0.772930805,,,,,,,No Trade,,,
07-01-13,6042.149902,6042.149902,5977.149902,5988.399902,5988.399902,0,5997.274824,5995.493353,1.781470893,0.974638822,,,,,,,No Trade,,,
08-01-13,5983.450195,6007.049805,5964.399902,6001.700195,6001.700195,0,5997.955651,5995.95312,2.002531133,1.180217284,,,,,,,No Trade,,,
09-01-13,6006.200195,6020.100098,5958.450195,5971.5,5971.5,0,5993.885551,5994.141777,-0.25622678,0.892928472,,,,,,,No Trade,,,
10-01-13,5998.799805,6005.149902,5947.299805,5968.649902,5968.649902,0,5990.003143,5992.25349,-2.250347159,0.264273345,,,,,,,No Trade,,,
11-01-13,6012.399902,6018.850098,5940.600098,5951.299805,5951.299805,0,5984.048783,5989.219884,-5.171100578,-0.822801439,,,,,,,No Trade,,,
14-01-13,5967.200195,6036.899902,5962.149902,6024.049805,6024.049805,0,5990.202787,5991.799878,-1.597091427,-0.977659437,,,,,,,No Trade,,,
15-01-13,6037.850098,6068.5,6018.600098,6056.600098,6056.600098,0,6000.417758,5996.599894,3.817863232,-0.018554903,,,,,,,No Trade,,,
16-01-13,6049,6055.950195,5992.049805,6001.850098,6001.850098,0,6000.638118,5996.988798,3.649319296,0.715019937,,,,,,,No Trade,,,
17-01-13,6001.25,6053.200195,5988.100098,6039.200195,6039.200195,0,6006.570745,6000.115568,6.455176489,1.863051247,,,,,,,No Trade,,,
18-01-13,6059.850098,6083.399902,6048.299805,6064.399902,6064.399902,0,6015.467538,6004.877371,10.59016743,3.608474483,,,,,,,No Trade,,,
21-01-13,6085.75,6094.350098,6065.100098,6082.299805,6082.299805,130900,6025.749426,6010.612366,15.13705946,5.914191478,,,,,62.54750707,,No Trade,,,
22-01-13,6080.149902,6101.299805,6040.5,6048.5,6048.5,129000,6029.249514,6013.418857,15.83065644,7.89748447,,,,,57.10793059,,No Trade,,,
23-01-13,6052.850098,6069.799805,6021.149902,6054.299805,6054.299805,137000,6033.103405,6016.447076,16.65632902,9.64925338,,,,,55.92276329,,No Trade,,,
24-01-13,6046.200195,6065.299805,6007.850098,6019.350098,6019.350098,185200,6030.987511,6016.662114,14.32539696,10.58448209,,,,,50.39362796,,No Trade,,,
25-01-13,6024.5,6080.549805,6014.450195,6074.649902,6074.649902,147600,6037.704802,6020.957506,16.74729618,11.81704491,,,,,59.93549577,,No Trade,,,
28-01-13,6082.100098,6088.399902,6061.399902,6074.799805,6074.799805,113100,6043.411726,6024.945825,18.46590121,13.14681617,,,,,58.68373855,,No Trade,,,
29-01-13,6064.700195,6111.799805,6042.450195,6049.899902,6049.899902,157600,6044.409907,6026.794275,17.61563202,14.04057934,6024.517456,38.56243811,6101.642332,5947.39258,59.43215449,,No Trade,,,
30-01-13,6065,6071.950195,6044.149902,6055.75,6055.75,124200,6046.154536,6028.939143,17.21539321,14.67554211,6027.642456,38.42742751,6104.497311,5950.787601,60.40376022,,No Trade,,,
31-01-13,6045.649902,6058.049805,6025.149902,6034.75,6034.75,168500,6044.399992,6029.369577,15.0304153,14.74651675,6028.904956,38.21419333,6105.333343,5952.476569,59.88163272,,No Trade,,,
01-02-13,6040.950195,6052.950195,5983.200195,5998.899902,5998.899902,159300,6037.399979,6027.112564,10.28741439,13.85469628,6028.042456,38.70869655,6105.459849,5950.625063,46.73673807,,No Trade,,,
