TIMESTAMP,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA,EMA_12,EMA_26,MACD,Signal_Line,20_MA,20_STD,Upper_Band,Lower_Band
2013-01-25,641e9d4f4438f60007b4d173,RELIANCE,EQ,N,917.35,905.1,916.25,912.2,911.0,915.55,3220389,2931351606.7,955.0,673.05,113798,INE002A01018,2013-01-25,2023-03-25T07:05:51.940Z,2023-03-25T07:05:51.940Z,0,,910.25,25-Jan-2013,,912.2,912.2,0.0,0.0,,,,
2013-01-24,641e9d4528313b0007cbe7f4,RELIANCE,EQ,N,928.35,907.0,925.0,915.55,918.0,923.05,3071712,2813581980.25,955.0,673.05,86396,INE002A01018,2013-01-24,2023-03-25T07:05:41.869Z,2023-03-25T07:05:41.869Z,0,,915.97,24-Jan-2013,,912.7153846153847,912.4481481481482,0.2672364672364438,0.05344729344728876,,,,
2013-01-23,641e9d3b17bd4600074ad49f,RELIANCE,EQ,N,928.8,916.2,922.1,923.05,923.25,920.05,2674869,2466891969.85,955.0,673.05,53437,INE002A01018,2013-01-23,2023-03-25T07:05:31.747Z,2023-03-25T07:05:31.747Z,0,,922.25,23-Jan-2013,,914.3053254437871,913.2334705075447,1.0718549362424028,0.2571288220063116,,,,
2013-01-22,641e9d313d38840007c5b6f9,RELIANCE,EQ,N,930.7,915.55,920.0,920.05,921.7,919.95,4266371,3946847006.75,955.0,673.05,92922,INE002A01018,2013-01-22,2023-03-25T07:05:21.655Z,2023-03-25T07:05:21.655Z,0,,925.11,22-Jan-2013,,915.1891215293583,913.7383986180969,1.4507229112614368,0.4958476398573367,,,,
2013-01-21,641e9d274438f60007b4c9de,RELIANCE,EQ,N,955.0,918.05,938.1,919.95,919.9,900.2,10047910,9351326003.65,955.0,673.05,216013,INE002A01018,2013-01-21,2023-03-25T07:05:11.555Z,2023-03-25T07:05:11.555Z,0,,930.67,21-Jan-2013,,915.9215643709955,914.1985172389786,1.723047132016859,0.7412875382892412,,,,
2013-01-18,641e9d1dde5deb00074b84c8,RELIANCE,EQ,N,902.95,885.65,895.0,900.2,898.0,890.0,5201345,4660332028.6,902.95,673.05,134895,INE002A01018,2013-01-18,2023-03-25T07:05:01.457Z,2023-03-25T07:05:01.457Z,0,,895.99,18-Jan-2013,,913.502862160073,913.1615900360913,0.3412721239817529,0.6612844554277436,,,,
2013-01-17,641e9d13ff5c3000070504de,RELIANCE,EQ,N,893.55,859.75,862.1,890.0,888.0,861.35,5055697,4446039378.85,893.55,673.05,127554,INE002A01018,2013-01-17,2023-03-25T07:04:51.346Z,2023-03-25T07:04:51.346Z,0,,879.41,17-Jan-2013,,909.8870372123695,911.4459167000846,-1.558879487715103,0.21725166679917424,,,,
2013-01-16,641e9d093dfde30007cbd28d,RELIANCE,EQ,N,870.9,846.05,846.05,861.35,860.0,847.15,4469088,3861802788.8,881.6,673.05,95112,INE002A01018,2013-01-16,2023-03-25T07:04:41.251Z,2023-03-25T07:04:41.251Z,0,,864.11,16-Jan-2013,,902.4198007181587,907.7351080556339,-5.315307337475133,-0.8892601340556874,,,,
2013-01-15,641e9cffd72c3f0007542e18,RELIANCE,EQ,N,851.8,838.0,846.15,847.15,847.1,847.55,2374487,2005275789.85,881.6,673.05,88697,INE002A01018,2013-01-15,2023-03-25T07:04:31.150Z,2023-03-25T07:04:31.150Z,0,,844.51,15-Jan-2013,,893.9167544538266,903.247322273735,-9.330567819908424,-2.5775216712262345,,,,
2013-01-14,641e9cf5341dfa0007d083ba,RELIANCE,EQ,N,853.0,839.0,841.0,847.55,850.0,839.9,1614000,1362473064.2,881.6,673.05,64347,INE002A01018,2013-01-14,2023-03-25T07:04:21.053Z,2023-03-25T07:04:21.053Z,0,,844.16,14-Jan-2013,,886.7834076147763,899.1215946979028,-12.338187083126513,-4.529654753606291,,,,
2013-01-11,641e9ceabe69c00007c2d2dd,RELIANCE,EQ,N,853.0,836.25,852.5,839.9,838.3,850.05,1840162,1547881061.1,881.6,673.05,46216,INE002A01018,2013-01-11,2023-03-25T07:04:10.942Z,2023-03-25T07:04:10.942Z,0,,841.17,11-Jan-2013,,879.5705756740415,894.7348099054655,-15.164234231423961,-6.656570649169826,,,,
2013-01-10,641e9ce0d4c2be000759fa4f,RELIANCE,EQ,N,858.95,847.0,857.75,850.05,848.15,852.7,2112066,1797734740.15,881.6,673.05,54778,INE002A01018,2013-01-10,2023-03-25T07:04:00.844Z,2023-03-25T07:04:00.844Z,0,,851.17,10-Jan-2013,,875.0289486472659,891.4248239865422,-16.395875339276245,-8.60443158719111,,,,
2013-01-09,641e9cd63dfde30007cbcab3,RELIANCE,EQ,N,859.85,848.65,852.4,852.7,854.6,850.65,3902332,3335077756.6,881.6,673.05,56709,INE002A01018,2013-01-09,2023-03-25T07:03:50.744Z,2023-03-25T07:03:50.744Z,0,,854.64,09-Jan-2013,,871.5937257784558,888.5563185060576,-16.96259272760176,-10.27606381527324,,,,
2013-01-08,641e9cccbe69c00007c2caf6,RELIANCE,EQ,N,858.1,847.9,855.1,850.65,848.95,856.6,3194175,2721909997.55,881.6,673.05,82769,INE002A01018,2013-01-08,2023-03-25T07:03:40.641Z,2023-03-25T07:03:40.641Z,0,,852.15,08-Jan-2013,,868.3716141202318,885.7484430611644,-17.37682894093257,-11.696216840405105,,,,
2013-01-07,641e9cc20125d80007461b2c,RELIANCE,EQ,N,871.0,851.8,865.7,856.6,852.0,861.85,3498964,3012297917.9,881.6,673.05,76315,INE002A01018,2013-01-07,2023-03-25T07:03:30.540Z,2023-03-25T07:03:30.540Z,0,,860.91,07-Jan-2013,,866.5605965632731,883.5892991307078,-17.02870256743472,-12.762713985811029,,,,
2013-01-04,641e9cb80125d80007461336,RELIANCE,EQ,N,864.6,853.55,861.9,861.85,862.65,860.75,3041614,2617050660.05,881.6,673.05,67079,INE002A01018,2013-01-04,2023-03-25T07:03:20.450Z,2023-03-25T07:03:20.450Z,0,,860.42,04-Jan-2013,,865.8358893996926,881.9789806765814,-16.143091276888754,-13.438789444026575,,,,
2013-01-03,641e9cae31da23000790f622,RELIANCE,EQ,N,862.0,844.6,848.6,860.75,860.1,847.95,3946902,3376883367.35,881.6,673.05,103363,INE002A01018,2013-01-03,2023-03-25T07:03:10.357Z,2023-03-25T07:03:10.357Z,0,,855.58,03-Jan-2013,,865.053444876663,880.4064635894272,-15.353018712764197,-13.8216352977741,,,,
2013-01-02,641e9ca45cc9450007c70a69,RELIANCE,EQ,N,856.0,842.55,844.0,847.95,844.0,840.7,3072592,2610048530.35,881.6,673.05,82129,INE002A01018,2013-01-02,2023-03-25T07:03:00.255Z,2023-03-25T07:03:00.255Z,0,,849.46,02-Jan-2013,,862.4221456648687,878.0022811013215,-15.580135436452792,-14.17333532550984,,,,
