TIMESTAMP,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA,EMA_12,EMA_26,MACD,Signal_Line,20_MA,20_STD,Upper_Band,Lower_Band,Time,Price,Signal,Entry_Price,Profit_Loss,Cumulative_Profit_Loss
11-02-13,641e9dbfff5c300007050c9b,RELIANCE,EQ,N,875,860.6,865,868.4,870,863.55,1904074,1654002434,955,673.05,52486,INE002A01018,11-02-13,2023-03-25T07:07:43.195Z,2023-03-25T07:07:43.195Z,0,,868.66,11-Feb-13,,862.8894938,868.9424884,-6.05299465,-10.23675323,855.5225,11.45729456,878.4370891,832.6079109,,,,,,
08-02-13,641e9db45cc9450007c7122c,RELIANCE,EQ,N,874,857,869.95,863.55,860.15,872.9,2190791,1897181047,955,673.05,76919,INE002A01018,08-02-13,2023-03-25T07:07:32.967Z,2023-03-25T07:07:32.967Z,0,,865.98,08-Feb-13,,862.9911101,868.5430448,-5.551934719,-9.299789527,856.3425,11.41332641,879.1691528,833.5158472,,,,,,
07-02-13,641e9daa6e7d520007c6cc59,RELIANCE,EQ,N,882,868.35,871.6,872.9,871.2,875.65,1952688,1707424343,955,673.05,72846,INE002A01018,07-02-13,2023-03-25T07:07:22.869Z,2023-03-25T07:07:22.869Z,0,,874.4,07-Feb-13,,864.5155547,868.8657822,-4.35022754,-8.30987713,857.61,11.78698658,881.1839732,834.0360268,,,,,,
06-02-13,641e9da0d72c3f0007543d57,RELIANCE,EQ,N,882.9,870.8,880.45,875.65,875.45,874.75,2257604,1980644220,955,673.05,63286,INE002A01018,06-02-13,2023-03-25T07:07:12.767Z,2023-03-25T07:07:12.767Z,0,,877.32,06-Feb-13,,866.2285463,869.3683169,-3.139770604,-7.275855825,859.3975,11.67007503,882.7376501,836.0573499,,,,,,
05-02-13,641e9d966e7d520007c6c4c6,RELIANCE,EQ,N,885.9,873,884,874.75,873.95,886.7,2219184,1945966448,955,673.05,75475,INE002A01018,05-02-13,2023-03-25T07:07:02.674Z,2023-03-25T07:07:02.674Z,0,,876.88,05-Feb-13,,867.5395392,869.7669601,-2.227420919,-6.266168844,860.6325,11.9327973,884.4980946,836.7669054,,,,,,
04-02-13,641e9d8c2c03d7000701f093,RELIANCE,EQ,N,901,884.1,896.05,886.7,890.5,894,3130914,2795787588,955,673.05,75743,INE002A01018,04-02-13,2023-03-25T07:06:52.549Z,2023-03-25T07:06:52.549Z,0,,892.96,04-Feb-13,,870.4873024,871.0212593,-0.533956967,-5.119726468,862.3325,13.10731289,888.5471258,836.1178742,,,,,,
01-02-13,641e9d82a077ee0007561c56,RELIANCE,EQ,N,899.8,883.6,891.35,894,895,886.65,1863597,1662884081,955,673.05,58544,INE002A01018,01-02-13,2023-03-25T07:06:42.454Z,2023-03-25T07:06:42.454Z,0,,892.3,01-Feb-13,,874.1046405,872.7233883,1.381252192,-3.819530736,864.5,14.57579103,893.6515821,835.3484179,01-02-13,894,Sell,874.8,2.19478738,-0.626807821
31-01-13,641e9d78d72c3f00075435c1,RELIANCE,EQ,N,898,883.1,896.65,886.65,887.25,899.4,3825017,3395434980,955,673.05,87191,INE002A01018,31-01-13,2023-03-25T07:06:32.372Z,2023-03-25T07:06:32.372Z,0,,887.69,31-Jan-13,,876.0346958,873.7549891,2.279706636,-2.599683262,866.0025,15.25171669,896.5059334,835.4990666,,,,,,
30-01-13,641e9d6e2405c5000796f46b,RELIANCE,EQ,N,903.4,887.5,887.5,899.4,899.75,882.85,4032649,3622355831,955,673.05,122000,INE002A01018,30-01-13,2023-03-25T07:06:22.265Z,2023-03-25T07:06:22.265Z,0,,898.26,30-Jan-13,,879.629358,875.6546196,3.97473839,-1.284798931,867.88,16.93226754,901.7445351,834.0154649,,,,,,
29-01-13,641e9d64adde0b0007cf4fbc,RELIANCE,EQ,N,902,880.1,895,882.85,882.95,897.55,3529188,3145932197,955,673.05,88307,INE002A01018,29-01-13,2023-03-25T07:06:12.153Z,2023-03-25T07:06:12.153Z,0,,891.4,29-Jan-13,,880.1248414,876.1876107,3.937230637,-0.240393017,868.985,17.16203813,903.3090763,834.6609237,,,,,,
28-01-13,641e9d5a03c7b10007760954,RELIANCE,EQ,N,913.15,895,911.35,897.55,896.75,912.2,3063239,2758383231,955,673.05,82131,INE002A01018,28-01-13,2023-03-25T07:06:02.054Z,2023-03-25T07:06:02.054Z,0,,900.48,28-Jan-13,,882.805635,877.7700099,5.035625069,0.8148106,871.465,17.54191297,906.5488259,836.3811741,,,,,,
19-03-13,641e9ec5d4c2be00075a0979,RELIANCE,EQ,N,839,811.9,836.6,825,825.05,834.3,4107716,3388779276,955,673.05,76721,INE002A01018,19-03-13,2023-03-25T07:12:05.770Z,2023-03-25T07:12:05.770Z,0,,824.98,19-Mar-13,,873.9124604,873.8611203,0.051340078,0.662116495,870.68,19.2584117,909.1968234,832.1631766,19-03-13,825,Sell,,,
19-03-13,641e9ec5d4c2be00075a0979,RELIANCE,EQ,N,839,811.9,836.6,825,825.05,834.3,4107716,3388779276,955,673.05,76721,INE002A01018,19-03-13,2023-03-25T07:12:05.770Z,2023-03-25T07:12:05.770Z,0,,824.98,19-Mar-13,,873.9124604,873.8611203,0.051340078,0.662116495,870.68,19.2584117,909.1968234,832.1631766,19-03-13,825,Buy,825,0,-0.626807821
18-03-13,641e9ebb353f0e0007d19d56,RELIANCE,EQ,N,843.5,830.8,835,834.3,834.5,843.65,1833998,1534607230,955,673.05,42162,INE002A01018,18-03-13,2023-03-25T07:11:55.682Z,2023-03-25T07:11:55.682Z,0,,836.76,18-Mar-13,,867.8182357,870.9306669,-3.11243124,-0.092793052,869.435,20.78404689,911.0030938,827.8669062,,,,,,
15-03-13,641e9eb131da23000790fe07,RELIANCE,EQ,N,869.4,838.3,864.75,843.65,843.6,860.05,2924340,2484092223,955,673.05,96702,INE002A01018,15-03-13,2023-03-25T07:11:45.579Z,2023-03-25T07:11:45.579Z,0,,849.45,15-Mar-13,,864.1000456,868.9098768,-4.809831204,-1.036200682,867.8775,21.51513834,910.9077767,824.8472233,,,,,,
14-03-13,641e9ea7353f0e0007d195d6,RELIANCE,EQ,N,863.45,835.25,844,860.05,861.3,845,3380827,2877312820,955,673.05,77247,INE002A01018,14-03-13,2023-03-25T07:11:35.488Z,2023-03-25T07:11:35.488Z,0,,851.07,14-Mar-13,,863.4769617,868.2535896,-4.776627972,-1.78428614,868.46,21.11401754,910.6880351,826.2319649,,,,,,
13-03-13,641e9e9d2405c5000796fcb4,RELIANCE,EQ,N,856.6,840.2,842.2,845,841.75,847.85,2149116,1826513774,955,673.05,81751,INE002A01018,13-03-13,2023-03-25T07:11:25.390Z,2023-03-25T07:11:25.390Z,0,,849.89,13-Mar-13,,860.6343522,866.5311015,-5.896749337,-2.60677878,868.335,21.2515888,910.8381776,825.8318224,,,,,,
12-03-13,641e9e931f65df0007b38b2d,RELIANCE,EQ,N,854.5,843.55,850.5,847.85,845.85,844.5,1954963,1661573330,955,673.05,67429,INE002A01018,12-03-13,2023-03-25T07:11:15.305Z,2023-03-25T07:11:15.305Z,0,,849.93,12-Mar-13,,858.6675288,865.1473162,-6.479787451,-3.381380514,868.4375,21.14183851,910.721177,826.153823,,,,,,
11-03-13,641e9e891f65df0007b38389,RELIANCE,EQ,N,860.6,840.05,852.1,844.5,841.5,851.3,2415898,2058416677,955,673.05,71745,INE002A01018,11-03-13,2023-03-25T07:11:05.217Z,2023-03-25T07:11:05.217Z,0,,852.03,11-Mar-13,,856.487909,863.6178854,-7.12997643,-4.131099697,867.86,21.64966634,911.1593327,824.5606673,,,,,,
08-03-13,641e9e7fa077ee00075623e3,RELIANCE,EQ,N,854.7,840,843,851.3,852.1,836.5,2315993,1963667173,955,673.05,77766,INE002A01018,08-03-13,2023-03-25T07:10:55.103Z,2023-03-25T07:10:55.103Z,0,,847.87,08-Mar-13,,855.6897691,862.7054494,-7.015680315,-4.708015821,866.475,21.78510174,910.0452035,822.9047965,,,,,,
07-03-13,641e9e75353f0e0007d18e1b,RELIANCE,EQ,N,841.5,824.05,831.25,836.5,841.5,835.25,2406954,1998267486,955,673.05,87301,INE002A01018,07-03-13,2023-03-25T07:10:45.019Z,2023-03-25T07:10:45.019Z,0,,830.21,07-Mar-13,,852.7374969,860.764305,-8.026808084,-5.371774273,864.5275,22.66380998,909.85512,819.19988,,,,,,
06-03-13,641e9e6ad4c2be00075a0206,RELIANCE,EQ,N,838.4,826.7,831.9,835.25,834.55,826.35,2463693,2053380845,955,673.05,59431,INE002A01018,06-03-13,2023-03-25T07:10:34.915Z,2023-03-25T07:10:34.915Z,0,,833.46,06-Mar-13,,850.0471128,858.8743565,-8.827243709,-6.06286816,862.87,23.56016598,909.990332,815.749668,,,,,,
05-03-13,641e9e6028313b0007cbef9a,RELIANCE,EQ,N,834.45,819.1,819.1,826.35,825.75,812.6,3008011,2489027931,955,673.05,80798,INE002A01018,05-03-13,2023-03-25T07:10:24.823Z,2023-03-25T07:10:24.823Z,0,,827.47,05-Mar-13,,846.4014031,856.4651449,-10.06374178,-6.863042884,861.01,24.93212153,910.8742431,811.1457569,,,,,,
04-03-13,641e9e565510ab0007ed038a,RELIANCE,EQ,N,818.25,804.9,808.9,812.6,812.1,810.4,3416863,2774969720,955,673.05,79898,INE002A01018,04-03-13,2023-03-25T07:10:14.720Z,2023-03-25T07:10:14.720Z,0,,812.14,04-Mar-13,,841.2011873,853.2158749,-12.01468765,-7.893371837,857.995,26.9804554,911.9559108,804.0340892,,,,,,
01-03-13,641e9e4c4708d5000724a61c,RELIANCE,EQ,N,818.5,805.5,816,810.4,808.2,813.85,3178835,2579339960,955,673.05,71387,INE002A01018,01-03-13,2023-03-25T07:10:04.622Z,2023-03-25T07:10:04.622Z,0,,811.41,01-Mar-13,,836.4625431,850.0443286,-13.58178556,-9.031054581,854.7325,28.62797801,911.988456,797.476544,,,,,,
28-02-13,641e9e42c151a800069a0f9a,RELIANCE,EQ,N,839.55,805.75,837.2,813.85,817,831.3,6324405,5179692460,955,673.05,130981,INE002A01018,28-02-13,2023-03-25T07:09:54.502Z,2023-03-25T07:09:54.502Z,0,,819,28-Feb-13,,832.9836903,847.3632672,-14.37957696,-10.10075906,851.6875,29.60876415,910.9050283,792.4699717,,,,,,
27-02-13,641e9e38c151a800069a0813,RELIANCE,EQ,N,840.95,827.15,830,831.3,830,823.5,4048013,3375995341,955,673.05,116288,INE002A01018,27-02-13,2023-03-25T07:09:44.415Z,2023-03-25T07:09:44.415Z,0,,833.99,27-Feb-13,,832.724661,846.1733956,-13.44873458,-10.77035416,848.9175,28.7394982,906.3964964,791.4385036,,,,,,
26-02-13,641e9e2e713bb70007c88cf0,RELIANCE,EQ,N,849.7,818.75,849.7,823.5,828.8,854.35,3080139,2560792338,955,673.05,109004,INE002A01018,26-02-13,2023-03-25T07:09:34.310Z,2023-03-25T07:09:34.310Z,0,,831.39,26-Feb-13,,831.3054824,844.4938848,-13.18840242,-11.25396381,845.3925,27.20131709,899.7951342,790.9898658,,,,,,
25-02-13,641e9e244334450007b5440f,RELIANCE,EQ,N,864.95,851,864,854.35,851.15,862.6,2258056,1930616727,955,673.05,90782,INE002A01018,25-02-13,2023-03-25T07:09:24.201Z,2023-03-25T07:09:24.201Z,0,,854.99,25-Feb-13,,834.8507928,845.2239674,-10.37317462,-11.07780597,843.7775,25.53038682,894.8382736,792.7167264,25-02-13,854.35,Buy,854.35,,
22-02-13,641e9e1a4334450007b53bc9,RELIANCE,EQ,N,872,858,858.5,862.6,862.5,859.2,2223041,1924530730,955,673.05,80843,INE002A01018,22-02-13,2023-03-25T07:09:14.128Z,2023-03-25T07:09:14.128Z,0,,865.72,22-Feb-13,,839.1199016,846.5110809,-7.391179347,-10.34048065,841.9375,22.45102785,886.8395557,797.0354443,,,,,,
12-04-13,641e9f6725e375000786b6cb,RELIANCE,EQ,N,780.4,765,767,775.35,775,771.1,2594372,2009093655,955,673.05,68482,INE002A01018,12-04-13,2023-03-25T07:14:47.306Z,2023-03-25T07:14:47.306Z,0,,774.4,12-Apr-13,,829.3091475,841.2398898,-11.93074226,-10.65853297,836.5625,24.87777953,886.3180591,786.8069409,12-04-13,775.35,Sell,854.35,-9.24679581,-9.873603631
12-04-13,641e9f6725e375000786b6cb,RELIANCE,EQ,N,780.4,765,767,775.35,775,771.1,2594372,2009093655,955,673.05,68482,INE002A01018,12-04-13,2023-03-25T07:14:47.306Z,2023-03-25T07:14:47.306Z,0,,774.4,12-Apr-13,,829.3091475,841.2398898,-11.93074226,-10.65853297,836.5625,24.87777953,886.3180591,786.8069409,12-04-13,775.35,Buy,775.35,0,-9.873603631
